Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.19789, best fitness:  -0.19591
***Doing generation 212 of 400***
Generation average: -0.19716, best fitness:  -0.19274
***Doing generation 213 of 400***
Generation average: -0.19662, best fitness:  -0.19150
***Doing generation 214 of 400***
Generation average: -0.19618, best fitness:  -0.19148
***Doing generation 215 of 400***
Generation average: -0.19608, best fitness:  -0.19148
***Doing generation 216 of 400***
Generation average: -0.19556, best fitness:  -0.19121
***Doing generation 217 of 400***
Generation average: -0.19457, best fitness:  -0.19059
***Doing generation 218 of 400***
Generation average: -0.19251, best fitness:  -0.19030
***Doing generation 219 of 400***
Generation average: -0.19221, best fitness:  -0.19019
***Doing generation 220 of 400***
Generation average: -0.19153, best fitness:  -0.18971
***Doing generation 221 of 400***
Generation average: -0.19092, best fitness:  -0.18876
***Doing generation 222 of 400***
Generation average: -0.19077, best fitness:  -0.18876
***Doing generation 223 of 400***
Generation average: -0.19045, best fitness:  -0.18829
***Doing generation 224 of 400***
Generation average: -0.19032, best fitness:  -0.18829
***Doing generation 225 of 400***
Generation average: -0.18972, best fitness:  -0.18829
***Doing generation 226 of 400***
Generation average: -0.18971, best fitness:  -0.18824
***Doing generation 227 of 400***
Generation average: -0.18921, best fitness:  -0.18824
***Doing generation 228 of 400***
Generation average: -0.18938, best fitness:  -0.18773
***Doing generation 229 of 400***
Generation average: -0.18892, best fitness:  -0.18773
***Doing generation 230 of 400***
Generation average: -0.18877, best fitness:  -0.18692
***Doing generation 231 of 400***
Generation average: -0.18882, best fitness:  -0.18692
***Doing generation 232 of 400***
Generation average: -0.18820, best fitness:  -0.18595
***Doing generation 233 of 400***
Generation average: -0.18806, best fitness:  -0.18595
***Doing generation 234 of 400***
Generation average: -0.18752, best fitness:  -0.18508
***Doing generation 235 of 400***
Generation average: -0.18751, best fitness:  -0.18484
***Doing generation 236 of 400***
Generation average: -0.18703, best fitness:  -0.18475
***Doing generation 237 of 400***
Generation average: -0.18647, best fitness:  -0.18363
***Doing generation 238 of 400***
